date,wau,retained,new,resurrected,churned
02-10-2020,28,16,4,8,-8
02-17-2020,19,16,1,2,-12
02-24-2020,21,12,0,9,-7
03-02-2020,17,14,0,3,-7
03-09-2020,19,15,0,4,-2
03-16-2020,18,11,2,5,-8
03-23-2020,16,11,2,3,-7
03-30-2020,18,9,3,6,-7
04-06-2020,19,10,4,5,-8
04-13-2020,22,11,0,11,-8
04-20-2020,23,17,1,5,-5
04-27-2020,23,12,2,9,-11
05-04-2020,27,18,0,9,-5
05-11-2020,24,20,2,2,-7
05-18-2020,24,15,2,7,-9
05-25-2020,30,20,4,6,-4
06-01-2020,25,16,4,5,-14
06-08-2020,22,14,2,6,-11
06-15-2020,19,12,0,7,-10
06-22-2020,19,12,0,7,-7
06-29-2020,13,12,0,1,-7
07-06-2020,17,10,0,7,-3
07-13-2020,22,10,3,9,-7
07-20-2020,20,12,2,6,-10
07-27-2020,22,13,1,8,-7
08-03-2020,16,13,0,3,-9
08-10-2020,22,15,0,7,-1
08-17-2020,24,19,1,4,-3
08-24-2020,20,16,0,4,-8
08-31-2020,17,13,0,4,-7
09-07-2020,18,12,2,4,-5
09-14-2020,18,13,0,5,-5
09-21-2020,20,14,0,6,-4
09-28-2020,17,13,1,3,-7
10-05-2020,22,13,1,8,-4
10-12-2020,19,13,1,5,-9
10-19-2020,25,15,2,8,-4
10-26-2020,26,19,3,4,-6
11-02-2020,17,12,0,5,-14
11-09-2020,21,12,0,9,-5
11-16-2020,26,18,2,6,-3
11-23-2020,23,15,0,8,-11
11-30-2020,30,16,1,13,-7
12-07-2020,26,22,0,4,-8
12-14-2020,28,21,3,4,-5
12-21-2020,7,4,0,3,-24
12-28-2020,6,2,1,3,-5
01-04-2021,16,1,2,13,-5
01-11-2021,16,11,2,3,-5
01-18-2021,20,13,0,7,-3
01-25-2021,24,14,2,8,-6
02-01-2021,21,16,2,3,-8
02-08-2021,15,12,0,3,-9
02-15-2021,26,12,2,12,-3
02-22-2021,29,16,4,9,-10
03-01-2021,34,20,1,13,-9
03-08-2021,23,20,1,2,-14
03-15-2021,26,15,1,10,-8
03-22-2021,22,14,1,7,-12
03-29-2021,23,15,0,8,-7
04-05-2021,19,13,1,5,-10
04-12-2021,26,15,2,9,-4
04-19-2021,24,17,2,5,-9
04-26-2021,26,20,2,4,-4
05-03-2021,28,18,1,9,-8
05-10-2021,23,19,0,4,-9
05-17-2021,23,16,1,6,-7
05-24-2021,26,15,1,10,-8
05-31-2021,24,17,1,6,-9
06-07-2021,29,16,3,10,-8
06-14-2021,31,21,2,8,-8
06-21-2021,21,19,0,2,-12
06-28-2021,28,13,1,14,-8
07-05-2021,32,21,1,10,-7
07-12-2021,22,17,1,4,-15
07-19-2021,26,16,0,10,-6
07-26-2021,28,20,1,7,-6
